VARIABLE,DESCRIPTION,TYPE,UNITS,MINIMUM,MAXIMUM,CODED_VALUES,COMMENT
dbGaP_Subject_ID,dbGaP assigned subject accession identifier,Integer ,,,,,
dbGaP_Sample_ID,dbGaP assigned sample accession identifier,Integer ,,,,,
BioSample_Accession,BioSample accession number,String ,,,,,
RANDSID,Subject ID,Integer ,,,,,
SAMPLE_USE,Sample use,String ,,,,Seq_DNA_SNP=Whole genome sequencing,
SAMPLE_USE,Sample use,String ,,,,Seq_DNA_WholeGenome=SNP genotypes derived from sequence data,
SAMPLE_USE,Sample use,String ,,,,Seq_Metagenomic=Metagenome sequencing,
SAMPLE_USE,Sample use,String ,,,,Seq_rRNA_16S=16S rRNA sequencing,
PROT,Protocol,Encoded ,,,,7001 ,
SITE,Site,String ,,,,11BAY=Houston,
SITE,Site,String ,,,,92WAU=St. Louis ,
SITE,Site,String ,,,,92WAU=St. Louis,
SITE,Site,String ,,,,93BAS=Baylor Sequencing Center,
SITE,Site,String ,,,,94WAS=Wash. U Sequencing Center,
SITE,Site,String ,,,,95BIS=Broad Institute Sequencing Center,
SITE,Site,String ,,,,96CVS=J. Craig Venter Institute Sequencing Center,
SITE,Site,String ,,,,97COR=Coriell Institute for Medical Research ,
SITE,Site,Encoded ,,,,11BAY=Houston,
SITE,Site,Encoded ,,,,92WAU=St. Louis ,
SITE_C,Site - coded fields,String ,,,,,
PROTSEG,Protocol Segment,Encoded ,,,,A ,
study_day,Calculated field based on number of days pre or post subject's day of enrollment/first sampling,Integer ,days ,-9999999999 ,9999999999 ,,
VISNO,Visit Number,Encoded ,,,,0,
VISNO,Visit Number,Encoded ,,,,01,
VISNO,Visit Number,Encoded ,,,,01S,
VISNO,Visit Number,Encoded ,,,,01T,
VISNO,Visit Number,Encoded ,,,,02,
VISNO,Visit Number,Encoded ,,,,02S,
VISNO,Visit Number,Encoded ,,,,02T,
VISNO,Visit Number,Encoded ,,,,03,
VISNO,Visit Number,Encoded ,,,,03S,
VISNO,Visit Number,Encoded ,,,,03T ,
VISNO,Visit Number,Encoded ,,,,00,
ST,Specimen Type,"Integer, encoded value ",,,,DBL=G_DNA_Blood whole,
ST,Specimen Type,"Integer, encoded value ",,,,D16=G_DNA_Stool,
ST,Specimen Type,"Integer, encoded value ",,,,D23=G_DNA_Buccal mucosa,
ST,Specimen Type,"Integer, encoded value ",,,,D22=G_DNA_Hard palate,
ST,Specimen Type,"Integer, encoded value ",,,,D24=G_DNA_Attached/Keratinized gingiva,
ST,Specimen Type,"Integer, encoded value ",,,,D25=G_DNA_Palatine Tonsils,
ST,Specimen Type,"Integer, encoded value ",,,,D14=G_DNA_Saliva,
ST,Specimen Type,"Integer, encoded value ",,,,D29=G_DNA_Subgingival plaque,
ST,Specimen Type,"Integer, encoded value ",,,,D28=G_DNA_Supragingival plaque,
ST,Specimen Type,"Integer, encoded value ",,,,D26=G_DNA_Throat,
ST,Specimen Type,"Integer, encoded value ",,,,D21=G_DNA_Tongue dorsum,
ST,Specimen Type,"Integer, encoded value ",,,,D27=G_DNA_Oral combined hard tissue (OCHT),
ST,Specimen Type,"Integer, encoded value ",,,,D20=G_DNA_Oral combined soft tissue (OCST),
ST,Specimen Type,"Integer, encoded value ",,,,D35=G_DNA_Anterior nares,
ST,Specimen Type,"Integer, encoded value ",,,,D32=G_DNA_L_Retroauricular crease,
ST,Specimen Type,"Integer, encoded value ",,,,D33=G_DNA_R_Antecubital fossa,
